Year,Project,Principal investigator(s),Sponsoring agency,Attachments,ODA funding
2001,Irrigation Management Workshops,Marshall English,Oregon State University,,"$3,204.00"
1997,Development of a Cover Crop Manual for Groundwater Protection ,Richard Dick ,Oregon State University ,,"$23,468.00"
1996,Grid Soil Sampling in High Fertility Crops ,Elena Fairchild ,Eugene Farmers Co-op ,,"$6,417.00 "
1996,Implementation of the Oregon Water Quality Decision Aid ,Herb Huddleston ,Oregon State University ,,"$6,875.00 "
1996,Effect of Alternative Crop Rotations/Cover Crops on Productivity and Input Efficiency in Vegetable Crop Systems - Year 2 ,Richard Dick,Oregon Processed Vegetable Commission ,,"$21,000.00 "
1996,Nutrient Management for Oregon: Publications for Practitioners ,John Hart ,Oregon State University,,"$10,000.00 "
1995,Improved Methods for Furrow Irrigation Management ,Alan Rex Mitchell ,Oregon State University ,,"$7,700.00 "
1995,On-Farm Testing of BMPs Reduction of Nitrate Loading to Groundwater - Year 1,John Selker ,Oregon State University ,,"$24,998.00 "
1995,Enhancing the Oregon Water Quality Decision Aid to Optimize Groundwater Protection,Herb Huddleston ,Oregon State University ,,"$5,940.00"
1995,Evaluating the Potential for Ultra-Low Rate Irrigation Systems to Improve Groundwater Quality - Year 1 ,Richard J. Roseberg ,Oregon State University ,,"$21,965.00 "
1994,Improvements to the Oregon Decision Aid for Evaluating Groundwater Vulnerability to Pesticide Leaching ,Herb Huddleston,Oregon State University ,,"$20,000.00 "
1994,Reducing Nitrate Loading of Groundwater by Cover Cropping Practices in Vegetable Production Systems ,Richard Dick ,Oregon State University,,"$14,221.00 "
1995,BMP - Irrigation Water Management Tool Adoption Program ,Kit Kamo ,NE Malheur County Groundwater Citizen´s Advisory Committee and the Malheur County Soil and Water Conservation District ,,"$5,000.00 "
1996, On-Farm Testing of BMPs Reduction of Nitrate Loading to Groundwater - Year 2 ,John Selker ,Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/b8d76dfe-aaf5-451b-bc81-32214a6353eb?filename=1996-04.zip,"$25,000.00 "
1996,Development of a Nitrogen Monitoring Program for Sweet Corn Production ,Neil Christensen ,Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/ae630afb-c5f0-424b-9092-aac6eb01036f?filename=1996-05.zip,"$15,000.00 "
1996,Evaluating the Potential for Ultra-Low Rate Irrigation Systems to Improve Groundwater Quality - Year 2 ,Richard J. Roseberg ,Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/467509a0-37f0-42bb-bb5d-a852091fc77b?filename=1996-06.zip,"$20,000.00"
1996,Defining Best Management Strategies for Nutrient and Water Application on Irrigated Crops in the Lower Umatilla Basin ,Larry Coppock & Associates ,Umatilla Soil and Water Conservation District ,https://data.oregon.gov/views/9yi8-3znr/files/742298fa-b0ca-42d1-adb4-72c0cd47cc55?filename=1996-07.zip,"$9,316.00 "
1994,Irrigation Management Monitoring Program ,Kit Kamo ,Malheur County Soil and Water Conservation District ,,"$5,000.00 "
1994,Cover Crops for Water Quality: Reducing Groundwater Contamination and Nitrogen Fertilizer Inputs in Western Oregon Vegetable Production Systems ,John Luna ,Oregon State University ,,"$15,000.00 "
1994,Development of Nitrogen Best Management Practices for Groundwater Protection and Sustainable Wheat Production ,Don Wysocki ,Oregon State University,,"$25,000.00 "
1994,Ground and Surface Water Protection Education Project ,Kathy Murrin ,Portland Parks and Recreation Department ,,"$14,150.00 "
1993,Three - Tier Nutrient Management Education Program,Nicola Giardina ,Jackson County Soil and Water Conservation District ,,"$15,000.00 "
1993,On-Farm Demonstration of the Use of Cover Crops for Reducing Groundwater Contamination & Nitrogen Fertilizer Inputs in Western Oregon Vegetable Production Systems ,John Luna ,Oregon State University ,,"$15,000.00 "
1993,Recovering a Municipal Water Source by Identifying Sources of Nitrate Contamination,Lawrence Coppock,Larry Coppock and Associates,,"$10,870.00"
1993,Hay and Pasture Nitrogen Fertilizer Rates to Reduce Potential Ground and Surface Water Pollution in Central Oregon ,Mylen Bohle ,Oregon State University ,,"$13,530.00 "
1993,Demonstration of Rapid Interpretation of Soil Water Information for Irrigation Decisions ,Clint Shock ,Oregon State University ,,"$13,793.00 "
1993,Development of a Farmstead Water Supply Assessment (Farm*A*Syst) System to Serve Oregon ,Ron Miner ,Oregon State University ,,"$14,850.00 "
2012-16,Making the Case for Implementing Groundwater Protection through Fertilizer Management,D. Schmizt et al.,Benton Soil & Water Conservation District,https://data.oregon.gov/views/9yi8-3znr/files/be9c2915-4d26-4fdc-bd2b-357497f6ab0a?filename=2012-02.zip,"$17,155.00"
1994,"Fertilizer Rate, Source and Placement for Enhanced Nitrogen Use by Hops to Protect Groundwater Quality",Neil Christensen,Oregon State University,https://data.oregon.gov/views/9yi8-3znr/files/adcb24f1-cf6a-48bd-b9d1-4b70e7c7018c?filename=94_01.zip,"$24,240.00 "
1997,Riparian Ecosystems and Water Quality in Northwest Agricultural Landscapes ,Steve Griffith ,USDA - ARS National Forage and Turf Seed Research Center ,https://data.oregon.gov/views/9yi8-3znr/files/e4ae8031-f2fc-4c6c-812c-b09535cd0375?filename=1997-01.zip,"$25,000.00 "
1996,Optimizing Orchard Nutrient Management,Franz Niederholzer,Oregon State University,https://data.oregon.gov/views/9yi8-3znr/files/40259a3f-eaee-4dd6-9d3a-f81159562167?filename=96_27.zip,"$10,771.00 "
1997,On-Farm Development of a Peppermint Nitrogen Management Tool ,John Selker ,Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/d98092fc-829c-440e-9e1a-5dcdc12182a5?filename=1997-02.zip,"$14,401.00 "
1997,On-Farm Development of a Growing Degree Day Based Management Schedule to Enhance Grass seed Production and Reduce Potential Environmental Losses of Nitrogen - Year 2 ,Tom Thomson ,Northwest Ag Consulting,https://data.oregon.gov/views/9yi8-3znr/files/31930cb0-d546-41fd-a58a-b4e3cde161c0?filename=1997-03.zip,"$12,150.00 "
1997,Developing Extension Materials to Support Sustainable Irrigation Systems Infrastructure ,John Selker ,Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/d316038a-6d7f-48bf-8403-bf8001769d99?filename=1997-04.zip,"$10,630.00 "
1997,Developing Nitrogen Fertilization Strategies for Spring Grains - Year 1 ,Russ Karow ,Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/63f3a83a-a16c-4fa0-a864-f078e5b29c89?filename=1997-05.zip,"$11,638.00 "
1997,Defining Optimum Nitrogen Fertilization Practices for Perennial Ryegrass and Tall Fescue Seed Production Systems in the Willamette Valley - Year 1 ,"William C. Young, III ",Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/9a92e3ec-b307-437c-abd4-7036ee3ce48d?filename=1997-06.zip,"$21,638.89 "
1997,GWMA Irrigation Water and Nitrogen Management BMP Monitoring ,Ron Jones ,Malheur County Soil and Water Conservation District ,https://data.oregon.gov/views/9yi8-3znr/files/d8a1a462-a277-4a8c-ac38-ff7929e90f09?filename=1997-07.zip,"$10,000.00 "
1997,Writing a Winter Wheat Nutrient Management Guide for Western Oregon and Field Testing its Principals ,Russ Karow ,Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/f28b49ae-4a02-4dc2-b87a-114c842826cf?filename=1997-08.zip,"$7,180.80 "
1998,On-Farm Development of a Growing Degree Day Based Management Schedule to Enhance Grass seed Production and Reduce Potential Environmental Losses of Nitrogen - Year 3 ,Tom Thomson ,Northwest Ag Consulting ,https://data.oregon.gov/views/9yi8-3znr/files/cdecd6fa-51aa-43bd-ab8b-d69ef48fbbdb?filename=1998-01.zip,"$5,880.00 "
1998,Defining Optimum Nitrogen Fertilization Practices for Perennial Ryegrass and Tall Fescue Seed Production Systems in the Willamette Valley - Year 2 ,"William C. Young, III ",Oregon State University ,https://data.oregon.gov/views/9yi8-3znr/files/03e71380-6201-45bd-a24c-85f0d03ec565?filename=1998-02.zip,"$22,938.89 "
